%time,field.data
1573737502933592108,<Rob Type="KUKA"><RIst X="200.0011" Y="-5308.0244" Z="1901.1986" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972624</IPOC></Rob>

1573737502937502783,<Rob Type="KUKA"><RIst X="200.0009" Y="-5308.0244" Z="1901.1984" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972628</IPOC></Rob>

1573737502941427418,<Rob Type="KUKA"><RIst X="200.0009" Y="-5308.0244" Z="1901.1984" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972632</IPOC></Rob>

1573737502945590050,<Rob Type="KUKA"><RIst X="200.0006" Y="-5308.0244" Z="1901.1981" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0001" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972636</IPOC></Rob>

1573737502952330226,<Rob Type="KUKA"><RIst X="200.0009" Y="-5308.0244" Z="1901.1981" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972640</IPOC></Rob>

1573737502953527526,<Rob Type="KUKA"><RIst X="200.0009" Y="-5308.0244" Z="1901.1982" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972644</IPOC></Rob>

1573737502957484767,<Rob Type="KUKA"><RIst X="200.0011" Y="-5308.0244" Z="1901.1981" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972648</IPOC></Rob>

1573737502968640171,<Rob Type="KUKA"><RIst X="200.0011" Y="-5308.0244" Z="1901.1980" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972652</IPOC></Rob>

1573737502968642596,<Rob Type="KUKA"><RIst X="200.0011" Y="-5308.0244" Z="1901.1984" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972656</IPOC></Rob>

1573737502969436191,<Rob Type="KUKA"><RIst X="200.0011" Y="-5308.0244" Z="1901.1982" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972660</IPOC></Rob>

1573737502989341842,<Rob Type="KUKA"><RIst X="200.0012" Y="-5308.0244" Z="1901.1982" A="106.6985" B="-0.0001" C="180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972664</IPOC></Rob>

1573737502989358523,<Rob Type="KUKA"><RIst X="200.0009" Y="-5308.0244" Z="1901.1984" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972668</IPOC></Rob>

1573737502989362248,<Rob Type="KUKA"><RIst X="200.0006" Y="-5308.0244" Z="1901.1982" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0001" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972672</IPOC></Rob>

1573737502989366538,<Rob Type="KUKA"><RIst X="200.0013" Y="-5308.0244" Z="1901.1982" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972676</IPOC></Rob>

